interaction_id,Interaction_Time,Department,User_Role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact,Feedback_Category,Speed_Performance,AI_Success_Flag
INT-101373,59:31.9,Finance,Intern,Compare sales performance by region,Customer,Profit Margin,Predictive,0.7,2337,4,Low,Positive,Slow,High Performance
INT-101404,19:31.9,Sales,Intern,Which campaign had highest ROI?,Finance,Churn Rate,Trend Analysis,0.6,2139,4,High,Positive,Slow,High Performance
INT-101415,30:31.9,Finance,Executive,Which campaign had highest ROI?,Finance,Conversion Rate,Trend Analysis,0.6,1509,4,Low,Positive,Slow,High Performance
INT-101418,25:31.9,HR,Executive,Which campaign had highest ROI?,Marketing,Revenue,Predictive,0.7,1984,4,Low,Positive,Slow,High Performance
INT-101591,15:31.9,Sales,Intern,Show monthly revenue trend,Marketing,Profit Margin,Descriptive,0.9,408,3,Low,Neutral,Fast,High Performance
INT-101600,27:31.9,Operations,Executive,Forecast next quarter revenue,Marketing,Revenue,Trend Analysis,0.9,2324,4,Medium,Positive,Slow,High Performance
INT-101655,03:31.9,Marketing,Executive,Forecast next quarter revenue,Marketing,Churn Rate,Descriptive,0.8,2255,2,Medium,Negative,Slow,Review Needed
INT-101670,21:31.9,Finance,Intern,Which campaign had highest ROI?,Sales,Churn Rate,Descriptive,0.8,2197,4,Medium,Positive,Slow,High Performance
INT-101807,27:31.9,Finance,Executive,Forecast next quarter revenue,Sales,Profit Margin,Trend Analysis,0.6,825,2,Low,Negative,Slow,Review Needed
INT-101813,12:31.9,Finance,Executive,Compare sales performance by region,Sales,ROI,Descriptive,0.8,2125,2,Low,Negative,Slow,Review Needed
INT-101845,40:31.9,Operations,Analyst,Which campaign had highest ROI?,Customer,Revenue,Predictive,0.9,1829,3,Low,Neutral,Slow,High Performance
INT-101950,17:31.9,Sales,Executive,Forecast next quarter revenue,Sales,Revenue,Descriptive,0.8,388,4,Medium,Positive,Fast,High Performance
INT-102027,45:31.9,HR,Intern,Which campaign had highest ROI?,Customer,ROI,Descriptive,1,477,5,Low,Positive,Fast,High Performance
INT-102349,37:31.9,Operations,Analyst,What is customer churn rate?,Revenue,Churn Rate,Trend Analysis,0.7,782,1,Medium,Negative,Slow,Review Needed
INT-102377,57:31.9,Sales,Executive,Show monthly revenue trend,Finance,Profit Margin,Descriptive,0.9,1245,1,nan,Negative,Slow,Review Needed
INT-102395,01:31.9,Finance,Intern,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.6,2331,0,Medium,No Rating,Slow,Review Needed
INT-102410,29:31.9,Sales,Analyst,Show monthly revenue trend,Marketing,Profit Margin,Descriptive,0.8,461,3,Low,Neutral,Fast,High Performance
INT-102438,56:31.9,Marketing,Intern,Which campaign had highest ROI?,Finance,Churn Rate,Descriptive,0.9,482,2,High,Negative,Fast,Review Needed
INT-102489,06:31.9,Sales,Analyst,What is customer churn rate?,Sales,ROI,Descriptive,0.7,915,4,Low,Positive,Slow,High Performance
INT-102556,47:31.9,Operations,Manager,Forecast next quarter revenue,Finance,Revenue,Trend Analysis,0.9,1443,2,Low,Negative,Slow,Review Needed
INT-102639,11:31.9,Operations,Analyst,Show monthly revenue trend,Customer,Conversion Rate,Descriptive,0.9,1952,4,Low,Positive,Slow,High Performance
INT-102733,18:31.9,Operations,Manager,Forecast next quarter revenue,Finance,Revenue,Trend Analysis,0.8,2063,4,Medium,Positive,Slow,High Performance
INT-102747,05:31.9,HR,Manager,Which campaign had highest ROI?,Finance,Revenue,Descriptive,0.8,338,2,Low,Negative,Fast,Review Needed
INT-102796,39:31.9,Sales,Executive,Compare sales performance by region,Finance,ROI,Predictive,0.8,1593,4,nan,Positive,Slow,High Performance
INT-102815,10:31.9,Finance,Manager,Forecast next quarter revenue,Customer,Revenue,Descriptive,0.9,960,1,Low,Negative,Slow,Review Needed
INT-102858,46:31.9,Operations,Intern,Show monthly revenue trend,Revenue,Conversion Rate,Predictive,0.8,398,4,Medium,Positive,Fast,High Performance
INT-103021,48:31.9,HR,Analyst,Show monthly revenue trend,Finance,Conversion Rate,Predictive,1,908,2,High,Negative,Slow,Review Needed
INT-103032,55:31.9,Marketing,Manager,What is customer churn rate?,Marketing,Profit Margin,Trend Analysis,0.8,265,4,Medium,Positive,Instant,High Performance
INT-103040,04:31.9,Operations,Intern,Show monthly revenue trend,Customer,Conversion Rate,Predictive,0.8,2490,2,Medium,Negative,Slow,Review Needed
INT-103059,35:31.9,Marketing,Executive,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.7,1422,1,Low,Negative,Slow,Review Needed
INT-103110,02:31.9,Sales,Intern,Compare sales performance by region,Marketing,Profit Margin,Descriptive,0.7,1867,3,Medium,Neutral,Slow,High Performance
INT-103153,50:31.9,Marketing,Intern,Compare sales performance by region,Revenue,Conversion Rate,Predictive,0.9,327,5,High,Positive,Fast,High Performance
INT-103198,05:31.9,Sales,Manager,What is customer churn rate?,Sales,Profit Margin,Predictive,0.6,1373,4,Low,Positive,Slow,High Performance
INT-100663,09:31.9,Finance,Manager,Forecast next quarter revenue,Marketing,ROI,Descriptive,0.9,1216,1,Low,Negative,Slow,Review Needed
INT-100711,35:31.9,Operations,Analyst,Which campaign had highest ROI?,Sales,Revenue,Predictive,0.8,1616,5,High,Positive,Slow,High Performance
INT-100588,12:31.9,HR,Intern,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.7,1578,1,Medium,Negative,Slow,Review Needed
INT-100600,40:31.9,Finance,Intern,Forecast next quarter revenue,Marketing,Churn Rate,Descriptive,0.7,1376,4,Medium,Positive,Slow,High Performance
INT-100287,41:31.9,Operations,Analyst,Compare sales performance by region,Sales,Profit Margin,Trend Analysis,0.9,1123,4,Medium,Positive,Slow,High Performance
INT-100261,34:31.9,Finance,Intern,Forecast next quarter revenue,Sales,ROI,Trend Analysis,0.7,1275,2,Low,Negative,Slow,Review Needed
INT-100266,41:31.9,HR,Manager,Forecast next quarter revenue,Revenue,Revenue,Predictive,1,556,3,High,Neutral,Fast,High Performance
INT-100274,13:31.9,Finance,Manager,Forecast next quarter revenue,Revenue,ROI,Descriptive,0.9,714,0,Medium,No Rating,Slow,Review Needed
INT-100197,33:31.9,Sales,Intern,Forecast next quarter revenue,Sales,Conversion Rate,Descriptive,0.7,729,3,High,Neutral,Slow,High Performance
INT-100005,50:31.9,Marketing,Executive,Compare sales performance by region,Finance,Conversion Rate,Descriptive,0.9,722,4,Medium,Positive,Slow,High Performance
INT-100036,50:31.9,Finance,Intern,Which campaign had highest ROI?,Customer,Profit Margin,Predictive,0.7,1558,2,Medium,Negative,Slow,Review Needed
INT-100097,47:31.9,Marketing,Manager,Compare sales performance by region,Revenue,Profit Margin,Descriptive,0.8,436,0,Medium,No Rating,Fast,Review Needed
INT-101441,45:31.9,Finance,Analyst,What is customer churn rate?,Customer,ROI,Descriptive,0.8,1718,3,High,Neutral,Slow,High Performance
INT-101390,28:31.9,Marketing,Analyst,Show monthly revenue trend,Sales,Churn Rate,Descriptive,0.7,2103,1,nan,Negative,Slow,Review Needed
INT-101218,19:31.9,Operations,Analyst,Compare sales performance by region,Marketing,Churn Rate,Trend Analysis,0.9,2249,3,High,Neutral,Slow,High Performance
INT-101292,35:31.9,Finance,Analyst,Which campaign had highest ROI?,Revenue,Conversion Rate,Trend Analysis,0.7,2017,4,High,Positive,Slow,High Performance
INT-101060,23:31.9,Sales,Executive,Forecast next quarter revenue,Revenue,Profit Margin,Predictive,0.8,767,1,High,Negative,Slow,Review Needed
INT-101156,18:31.9,Sales,Executive,What is customer churn rate?,Revenue,Churn Rate,Descriptive,0.9,1619,5,Medium,Positive,Slow,High Performance
INT-101178,40:31.9,Operations,Executive,Show monthly revenue trend,Marketing,Conversion Rate,Descriptive,0.6,306,4,Medium,Positive,Fast,High Performance
INT-100803,19:31.9,Operations,Intern,Show monthly revenue trend,Finance,Churn Rate,Descriptive,0.7,1387,5,Low,Positive,Slow,High Performance
INT-100917,39:31.9,Sales,Manager,Compare sales performance by region,Customer,ROI,Predictive,0.8,944,5,Medium,Positive,Slow,High Performance
INT-100938,55:31.9,Sales,Analyst,Show monthly revenue trend,Revenue,Profit Margin,Descriptive,0.7,864,5,Medium,Positive,Slow,High Performance
INT-102019,57:31.9,Finance,Analyst,Which campaign had highest ROI?,Revenue,Revenue,Predictive,0.9,491,3,High,Neutral,Fast,High Performance
INT-101867,50:31.9,Marketing,Analyst,Which campaign had highest ROI?,Marketing,Conversion Rate,Trend Analysis,0.7,1729,5,Low,Positive,Slow,High Performance
INT-101799,17:31.9,Sales,Analyst,Show monthly revenue trend,Finance,Revenue,Trend Analysis,0.9,2163,1,High,Negative,Slow,Review Needed
INT-101881,14:31.9,HR,Analyst,Which campaign had highest ROI?,Marketing,Churn Rate,Descriptive,0.7,737,3,nan,Neutral,Slow,High Performance
INT-101884,58:31.9,Sales,Manager,Which campaign had highest ROI?,Finance,Profit Margin,Predictive,0.9,2392,2,Low,Negative,Slow,Review Needed
INT-101910,10:31.9,Finance,Manager,Show monthly revenue trend,Sales,Revenue,Predictive,0.8,475,3,Low,Neutral,Fast,High Performance
INT-101917,43:31.9,Finance,Executive,Show monthly revenue trend,Marketing,Churn Rate,Descriptive,0.9,1127,3,Medium,Neutral,Slow,High Performance
INT-101726,29:31.9,Finance,Analyst,Which campaign had highest ROI?,Revenue,Churn Rate,Predictive,0.9,426,3,High,Neutral,Fast,High Performance
INT-101759,22:31.9,Marketing,Manager,Forecast next quarter revenue,Customer,Conversion Rate,Predictive,0.7,812,5,Medium,Positive,Slow,High Performance
INT-101765,16:31.9,Finance,Executive,What is customer churn rate?,Revenue,ROI,Predictive,0.7,1039,4,Low,Positive,Slow,High Performance
INT-101781,16:31.9,HR,Intern,Which campaign had highest ROI?,Sales,Revenue,Descriptive,1,588,4,Medium,Positive,Fast,High Performance
INT-101522,33:31.9,Finance,Intern,Show monthly revenue trend,Marketing,Revenue,Predictive,0.9,1616,0,Low,No Rating,Slow,Review Needed
INT-102109,29:31.9,HR,Analyst,What is customer churn rate?,Finance,Revenue,Descriptive,1,1118,3,Medium,Neutral,Slow,High Performance
INT-102144,07:31.9,Operations,Manager,Compare sales performance by region,Marketing,Churn Rate,Predictive,0.9,2158,2,nan,Negative,Slow,Review Needed
INT-102251,38:31.9,Sales,Analyst,What is customer churn rate?,Revenue,Churn Rate,Trend Analysis,0.7,1003,5,Low,Positive,Slow,High Performance
INT-102253,52:31.9,Sales,Analyst,What is customer churn rate?,Finance,Profit Margin,Predictive,0.8,2494,5,Low,Positive,Slow,High Performance
INT-102878,38:31.9,Marketing,Intern,Compare sales performance by region,Sales,Revenue,Trend Analysis,0.8,324,3,High,Neutral,Fast,High Performance
INT-102765,54:31.9,Operations,Analyst,What is customer churn rate?,Revenue,Revenue,Descriptive,0.9,399,3,Medium,Neutral,Fast,High Performance
INT-102730,53:31.9,Finance,Analyst,What is customer churn rate?,Sales,Revenue,Descriptive,0.8,2325,3,High,Neutral,Slow,High Performance
INT-102663,05:31.9,Sales,Executive,What is customer churn rate?,Finance,Revenue,Descriptive,0.6,580,5,High,Positive,Fast,High Performance
INT-102675,16:31.9,Sales,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,1,794,2,High,Negative,Slow,Review Needed
INT-102630,01:31.9,Marketing,Analyst,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.6,511,1,Low,Negative,Fast,Review Needed
INT-102543,14:31.9,Operations,Executive,What is customer churn rate?,Marketing,ROI,Trend Analysis,0.9,398,0,Low,No Rating,Fast,Review Needed
INT-102363,08:31.9,HR,Manager,What is customer churn rate?,Customer,Conversion Rate,Descriptive,0.9,1663,2,Low,Negative,Slow,Review Needed
INT-102367,29:31.9,HR,Manager,Show monthly revenue trend,Customer,Revenue,Descriptive,0.9,568,2,Low,Negative,Fast,Review Needed
INT-102307,08:31.9,Sales,Executive,What is customer churn rate?,Revenue,Revenue,Trend Analysis,1,2336,3,Medium,Neutral,Slow,High Performance
INT-103123,19:31.9,Marketing,Manager,Show monthly revenue trend,Customer,Churn Rate,Descriptive,0.9,722,0,Medium,No Rating,Slow,Review Needed
INT-103075,09:31.9,Marketing,Analyst,Compare sales performance by region,Customer,Revenue,Descriptive,1,2212,1,Medium,Negative,Slow,Review Needed
INT-100122,08:31.9,Operations,Intern,Forecast next quarter revenue,Finance,Churn Rate,Descriptive,0.9,817,1,Low,Negative,Slow,Review Needed
INT-100051,32:31.9,HR,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.9,1386,3,Low,Neutral,Slow,High Performance
INT-100154,40:31.9,Finance,Executive,Show monthly revenue trend,Revenue,Conversion Rate,Descriptive,0.7,1697,4,nan,Positive,Slow,High Performance
INT-100299,03:31.9,Sales,Executive,Compare sales performance by region,Revenue,Churn Rate,Descriptive,0.8,563,4,Low,Positive,Fast,High Performance
INT-100413,47:31.9,HR,Intern,Which campaign had highest ROI?,Finance,ROI,Predictive,0.9,216,3,Medium,Neutral,Instant,High Performance
INT-100530,54:31.9,Marketing,Analyst,Show monthly revenue trend,Customer,Profit Margin,Descriptive,0.9,1030,4,High,Positive,Slow,High Performance
INT-100484,38:31.9,Sales,Manager,Show monthly revenue trend,Sales,ROI,Predictive,0.8,2110,2,Low,Negative,Slow,Review Needed
INT-100434,36:31.9,HR,Analyst,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.7,1781,1,nan,Negative,Slow,Review Needed
INT-100589,28:31.9,Sales,Intern,What is customer churn rate?,Marketing,Revenue,Descriptive,0.9,2014,3,Low,Neutral,Slow,High Performance
INT-100698,42:31.9,Marketing,Analyst,What is customer churn rate?,Marketing,ROI,Trend Analysis,0.7,947,4,Low,Positive,Slow,High Performance
INT-100725,27:31.9,Sales,Executive,Show monthly revenue trend,Marketing,ROI,Predictive,0.8,381,1,High,Negative,Fast,Review Needed
INT-100960,09:31.9,HR,Executive,Which campaign had highest ROI?,Marketing,Churn Rate,Trend Analysis,0.7,744,4,High,Positive,Slow,High Performance
INT-100984,51:31.9,Finance,Analyst,Compare sales performance by region,Finance,Revenue,Predictive,0.7,1203,3,nan,Neutral,Slow,High Performance
INT-101024,18:31.9,Sales,Analyst,Forecast next quarter revenue,Marketing,Revenue,Predictive,1,1862,3,Medium,Neutral,Slow,High Performance
INT-100829,20:31.9,Sales,Manager,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.8,802,0,Medium,No Rating,Slow,Review Needed
INT-101158,07:31.9,Marketing,Manager,Which campaign had highest ROI?,Marketing,Revenue,Descriptive,0.9,1123,3,High,Neutral,Slow,High Performance
INT-101078,09:31.9,Finance,Analyst,Compare sales performance by region,Marketing,Churn Rate,Trend Analysis,0.7,367,4,Medium,Positive,Fast,High Performance
INT-101093,15:31.9,Marketing,Executive,Which campaign had highest ROI?,Marketing,Revenue,Trend Analysis,0.6,368,3,Low,Neutral,Fast,High Performance
INT-101113,02:31.9,Finance,Intern,What is customer churn rate?,Customer,Revenue,Descriptive,0.9,2303,3,High,Neutral,Slow,High Performance
INT-101315,48:31.9,Marketing,Executive,What is customer churn rate?,Customer,Revenue,Descriptive,1,1852,1,nan,Negative,Slow,Review Needed
INT-101232,29:31.9,Sales,Analyst,What is customer churn rate?,Finance,Profit Margin,Descriptive,0.9,2489,4,Medium,Positive,Slow,High Performance
INT-101365,10:31.9,Marketing,Executive,Which campaign had highest ROI?,Finance,Revenue,Trend Analysis,0.8,1682,3,Low,Neutral,Slow,High Performance
INT-101477,20:31.9,Operations,Executive,Compare sales performance by region,Sales,Profit Margin,Trend Analysis,0.8,1679,5,High,Positive,Slow,High Performance
INT-102093,32:31.9,Operations,Manager,Which campaign had highest ROI?,Sales,Churn Rate,Descriptive,0.8,1241,2,Low,Negative,Slow,Review Needed
INT-101627,46:31.9,Sales,Analyst,Show monthly revenue trend,Customer,Revenue,Descriptive,0.7,2209,2,High,Negative,Slow,Review Needed
INT-101604,35:31.9,Operations,Manager,What is customer churn rate?,Sales,Churn Rate,Trend Analysis,0.7,361,2,Medium,Negative,Fast,Review Needed
INT-101751,33:31.9,HR,Executive,Which campaign had highest ROI?,Finance,Profit Margin,Trend Analysis,0.9,381,4,Medium,Positive,Fast,High Performance
INT-101698,24:31.9,HR,Intern,What is customer churn rate?,Customer,Conversion Rate,Trend Analysis,0.8,1793,5,Low,Positive,Slow,High Performance
INT-101685,22:31.9,Marketing,Manager,Show monthly revenue trend,Revenue,Churn Rate,Descriptive,0.6,2493,4,High,Positive,Slow,High Performance
INT-101690,22:31.9,Sales,Intern,Forecast next quarter revenue,Finance,Churn Rate,Predictive,0.9,732,4,High,Positive,Slow,High Performance
INT-101915,56:31.9,Operations,Analyst,What is customer churn rate?,Revenue,Profit Margin,Trend Analysis,0.7,1009,3,Low,Neutral,Slow,High Performance
INT-101916,05:31.9,Operations,Analyst,Forecast next quarter revenue,Marketing,Profit Margin,Descriptive,0.8,1672,0,Medium,No Rating,Slow,Review Needed
INT-101801,05:31.9,HR,Executive,Compare sales performance by region,Finance,Conversion Rate,Predictive,0.9,2206,4,High,Positive,Slow,High Performance
INT-101816,24:31.9,HR,Analyst,Show monthly revenue trend,Revenue,Profit Margin,Trend Analysis,0.9,1062,0,nan,No Rating,Slow,Review Needed
INT-101849,43:31.9,Marketing,Manager,Which campaign had highest ROI?,Sales,ROI,Predictive,0.9,1753,1,Medium,Negative,Slow,Review Needed
INT-101835,07:31.9,Marketing,Manager,Forecast next quarter revenue,Sales,Revenue,Descriptive,0.9,1905,3,Medium,Neutral,Slow,High Performance
INT-102079,47:31.9,HR,Manager,Forecast next quarter revenue,Finance,ROI,Descriptive,1,760,0,Medium,No Rating,Slow,Review Needed
INT-101954,46:31.9,HR,Intern,Compare sales performance by region,Revenue,ROI,Descriptive,0.8,799,3,Medium,Neutral,Slow,High Performance
INT-101987,28:31.9,Marketing,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Descriptive,0.7,289,0,Medium,No Rating,Instant,Review Needed
INT-102011,09:31.9,Marketing,Executive,What is customer churn rate?,Customer,Profit Margin,Predictive,0.7,2185,2,nan,Negative,Slow,Review Needed
INT-102302,43:31.9,Sales,Manager,What is customer churn rate?,Finance,ROI,Descriptive,0.8,1591,3,Low,Neutral,Slow,High Performance
INT-102283,26:31.9,Sales,Intern,Compare sales performance by region,Revenue,Revenue,Predictive,0.7,1291,3,nan,Neutral,Slow,High Performance
INT-102392,08:31.9,Marketing,Executive,Forecast next quarter revenue,Customer,Profit Margin,Predictive,0.8,1614,4,Medium,Positive,Slow,High Performance
INT-102505,06:31.9,Marketing,Intern,Forecast next quarter revenue,Finance,Conversion Rate,Descriptive,0.6,1880,0,Medium,No Rating,Slow,Review Needed
INT-102440,34:31.9,HR,Manager,What is customer churn rate?,Finance,Conversion Rate,Predictive,0.6,2244,4,High,Positive,Slow,High Performance
INT-102419,24:31.9,HR,Analyst,Which campaign had highest ROI?,Customer,Profit Margin,Trend Analysis,0.6,244,5,nan,Positive,Instant,High Performance
INT-102562,04:31.9,Marketing,Executive,Which campaign had highest ROI?,Revenue,ROI,Trend Analysis,0.6,2122,5,High,Positive,Slow,High Performance
INT-102573,05:31.9,Sales,Manager,Forecast next quarter revenue,Customer,Revenue,Trend Analysis,1,2497,3,High,Neutral,Slow,High Performance
INT-102667,41:31.9,HR,Intern,Show monthly revenue trend,Sales,ROI,Descriptive,0.8,2410,2,nan,Negative,Slow,Review Needed
INT-102697,29:31.9,Operations,Intern,Compare sales performance by region,Sales,Churn Rate,Descriptive,0.9,2188,4,Low,Positive,Slow,High Performance
INT-102709,02:31.9,HR,Executive,Which campaign had highest ROI?,Finance,ROI,Trend Analysis,0.7,1156,5,High,Positive,Slow,High Performance
INT-102754,07:31.9,Finance,Intern,Which campaign had highest ROI?,Sales,Profit Margin,Predictive,0.8,1180,3,High,Neutral,Slow,High Performance
INT-102759,37:31.9,HR,Analyst,Compare sales performance by region,Revenue,Churn Rate,Predictive,0.8,1996,4,Low,Positive,Slow,High Performance
INT-102817,05:31.9,HR,Intern,Show monthly revenue trend,Sales,Profit Margin,Predictive,0.9,1752,3,nan,Neutral,Slow,High Performance
INT-102883,20:31.9,Sales,Analyst,Show monthly revenue trend,Customer,Profit Margin,Trend Analysis,0.8,1244,3,High,Neutral,Slow,High Performance
INT-103064,22:31.9,Operations,Manager,What is customer churn rate?,Finance,ROI,Trend Analysis,0.7,2330,4,Medium,Positive,Slow,High Performance
INT-103044,33:31.9,Sales,Intern,Show monthly revenue trend,Sales,Revenue,Trend Analysis,0.9,1834,0,High,No Rating,Slow,Review Needed
INT-103150,08:31.9,Sales,Manager,What is customer churn rate?,Finance,Conversion Rate,Predictive,0.6,2326,3,Low,Neutral,Slow,High Performance
INT-100668,35:31.9,Marketing,Analyst,Compare sales performance by region,Marketing,Churn Rate,Descriptive,0.9,388,3,Medium,Neutral,Fast,High Performance
INT-100606,07:31.9,HR,Manager,Forecast next quarter revenue,Sales,Profit Margin,Descriptive,0.8,834,5,Medium,Positive,Slow,High Performance
INT-100447,04:31.9,Sales,Intern,What is customer churn rate?,Revenue,Conversion Rate,Descriptive,0.8,1694,3,Medium,Neutral,Slow,High Performance
INT-100465,28:31.9,Marketing,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Predictive,1,333,3,Medium,Neutral,Fast,High Performance
INT-100537,16:31.9,Finance,Analyst,Show monthly revenue trend,Finance,Revenue,Descriptive,0.6,1034,4,Low,Positive,Slow,High Performance
INT-100389,15:31.9,Marketing,Intern,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.9,1717,0,Medium,No Rating,Slow,Review Needed
INT-100332,48:31.9,Sales,Intern,Show monthly revenue trend,Customer,Profit Margin,Trend Analysis,1,785,5,High,Positive,Slow,High Performance
INT-100341,35:31.9,HR,Manager,Forecast next quarter revenue,Finance,ROI,Descriptive,0.8,1941,3,Medium,Neutral,Slow,High Performance
INT-100346,40:31.9,Finance,Executive,Show monthly revenue trend,Revenue,ROI,Predictive,0.7,2033,3,Low,Neutral,Slow,High Performance
INT-100256,11:31.9,Sales,Manager,Compare sales performance by region,Finance,Conversion Rate,Descriptive,0.9,1597,5,High,Positive,Slow,High Performance
INT-100027,26:31.9,Marketing,Intern,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.7,218,2,Low,Negative,Instant,Review Needed
INT-100107,21:31.9,HR,Manager,Compare sales performance by region,Finance,Profit Margin,Descriptive,0.8,2238,5,Medium,Positive,Slow,High Performance
INT-101451,33:31.9,Sales,Intern,Which campaign had highest ROI?,Sales,Profit Margin,Descriptive,0.7,270,4,Medium,Positive,Instant,High Performance
INT-101410,43:31.9,Finance,Intern,Forecast next quarter revenue,Customer,Revenue,Predictive,0.7,1222,5,Medium,Positive,Slow,High Performance
INT-101400,13:31.9,Finance,Analyst,What is customer churn rate?,Sales,Revenue,Predictive,0.7,243,5,Medium,Positive,Instant,High Performance
INT-101239,41:31.9,Sales,Manager,What is customer churn rate?,Revenue,Profit Margin,Predictive,0.7,398,4,High,Positive,Fast,High Performance
INT-101255,16:31.9,Operations,Intern,Forecast next quarter revenue,Finance,Conversion Rate,Descriptive,0.7,810,5,Medium,Positive,Slow,High Performance
INT-101296,59:31.9,Sales,Manager,Compare sales performance by region,Revenue,Revenue,Predictive,0.7,1273,4,Low,Positive,Slow,High Performance
INT-101259,29:31.9,Sales,Executive,Forecast next quarter revenue,Finance,Conversion Rate,Predictive,0.7,1006,2,Medium,Negative,Slow,Review Needed
INT-101063,19:31.9,Sales,Executive,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.9,678,5,Medium,Positive,Slow,High Performance
INT-101058,41:31.9,Marketing,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Descriptive,0.7,2332,4,Medium,Positive,Slow,High Performance
INT-100833,15:31.9,Sales,Executive,Which campaign had highest ROI?,Marketing,ROI,Descriptive,0.7,1898,3,Medium,Neutral,Slow,High Performance
INT-100846,06:31.9,HR,Manager,Show monthly revenue trend,Marketing,ROI,Predictive,0.9,1137,4,Medium,Positive,Slow,High Performance
INT-100890,34:31.9,Marketing,Executive,Show monthly revenue trend,Marketing,Revenue,Descriptive,0.6,580,4,Medium,Positive,Fast,High Performance
INT-100823,09:31.9,Finance,Manager,Compare sales performance by region,Customer,Revenue,Trend Analysis,0.9,275,3,Low,Neutral,Instant,High Performance
